Amount_Requested,Amount_Funded_By_Investors,Loan_Length,Debt_To_Income_Ratio,Home_Ownership,Monthly_Income,FICO_Range,Open_CREDIT_Lines,Revolving_CREDIT_Balance,Inquiries_in_the_Last_6_Months,Employment_Length,Loan_Purpose_credit_card,Loan_Purpose_debt_consolidation,Loan_Purpose_major_purchase,Loan_Purpose_other
12000.0,12000.0,60.0,23.3,2,4000.0,727.0,8.0,15010.0,0.0,10.0,0,1,0,0
5000.0,4947.35,60.0,10.8,1,6400.0,732.0,8.0,5783.0,0.0,0.5,1,0,0,0
21000.0,21000.0,60.0,6.52,2,11833.325,672.0,5.0,1240.0,3.0,10.0,0,0,0,0
3250.0,3225.0,36.0,3.12,1,2083.33,747.0,6.0,2114.0,1.0,3.0,1,0,0,0
20000.0,20000.0,60.0,18.45,1,4250.0,702.0,10.0,11805.0,0.0,4.0,0,1,0,0
3200.0,3200.0,36.0,1.37,1,2917.0,667.0,4.0,1427.0,1.0,0.5,0,0,0,1
10000.0,9500.0,36.0,12.93,1,4841.67,777.0,4.0,0.0,1.0,4.0,0,0,1,0
15000.0,15000.0,36.0,18.73,1,4000.0,697.0,7.0,15055.0,0.0,2.0,1,0,0,0
2000.0,2000.0,36.0,22.06,3,3600.0,667.0,10.0,14234.0,1.0,6.0,0,1,0,0
4800.0,4800.0,60.0,13.81,1,3750.0,697.0,13.0,16302.0,0.0,10.0,0,1,0,0
5350.0,5350.0,36.0,16.45,2,11250.0,732.0,11.0,19184.0,3.0,8.0,0,0,0,0
2500.0,2125.0,36.0,22.32,2,3750.0,672.0,21.0,4744.0,3.0,7.0,0,1,0,0
10000.0,10000.0,36.0,26.87,1,3166.67,682.0,6.0,7271.0,0.0,7.0,0,1,0,0
9500.0,9500.0,36.0,19.28,2,3583.33,737.0,8.0,5240.0,0.0,10.0,0,1,0,0
18000.0,9516.78,36.0,17.43,2,7750.0,707.0,17.0,29046.0,0.0,3.0,0,1,0,0
11000.0,11000.0,36.0,11.44,2,5000.0,667.0,7.0,10070.0,3.0,10.0,0,0,0,1
12000.0,12000.0,36.0,9.44,3,5746.0,662.0,12.0,9561.0,0.0,4.0,0,1,0,0
11000.0,10950.0,36.0,22.38,2,4200.0,762.0,6.0,8694.0,3.0,7.0,1,0,0,0
24000.0,23975.0,60.0,22.58,2,5416.67,682.0,12.0,13066.0,0.0,1.0,0,1,0,0
6000.0,6000.0,36.0,16.03,1,4166.67,794.5,5.0,79.0,0.0,1.0,0,0,1,0
7800.0,7242.07,36.0,16.77,1,6000.0,697.0,8.0,13835.0,0.0,4.0,0,1,0,0
10000.0,10000.0,36.0,4.89,2,2166.67,682.0,4.0,4544.0,0.0,10.0,0,1,0,0
5000.0,5000.0,36.0,16.32,1,3750.0,742.0,6.0,1703.0,3.0,8.0,0,0,0,1
8100.0,8100.0,36.0,17.63,1,4600.0,677.0,9.0,2963.0,0.0,3.0,0,1,0,0
25000.0,24950.0,60.0,23.79,2,5666.67,692.0,8.0,27699.0,1.0,8.0,0,1,0,0
20400.0,20375.0,60.0,10.38,1,6733.33,727.0,8.0,11149.0,2.0,6.0,0,1,0,0
8000.0,8000.0,36.0,27.34,1,3500.0,687.0,19.0,16395.0,2.0,7.0,1,0,0,0
16000.0,16000.0,36.0,24.3,1,6250.0,717.0,8.0,10304.0,2.0,0.5,0,1,0,0
4500.0,4500.0,36.0,27.63,1,2700.0,722.0,13.0,9341.0,0.0,4.0,1,0,0,0
6000.0,5905.66,36.0,6.6,1,4166.67,677.0,5.0,3433.0,1.0,2.0,1,0,0,0
30000.0,30000.0,36.0,8.51,2,9166.67,717.0,10.0,28967.0,0.0,10.0,0,1,0,0
10000.0,10000.0,36.0,11.52,1,4166.67,712.0,7.0,9817.0,1.0,4.0,0,1,0,0
14000.0,14000.0,36.0,22.55,2,8750.0,712.0,8.0,25026.0,0.0,10.0,0,1,0,0
20000.0,3850.0,36.0,14.63,1,6000.0,727.0,8.0,28585.0,0.0,10.0,0,1,0,0
15000.0,14925.0,36.0,13.3,1,5000.0,667.0,7.0,11368.0,1.0,0.5,0,1,0,0
3000.0,3000.0,36.0,16.8,1,3083.33,697.0,4.0,413.0,0.0,2.0,0,0,1,0
4950.0,4950.0,36.0,16.75,1,1403.33,727.0,4.0,2738.0,1.0,2.0,0,0,0,1
3200.0,3200.0,36.0,6.51,1,4500.0,742.0,7.0,3198.0,0.0,5.0,0,1,0,0
15000.0,15000.0,36.0,7.55,1,8750.0,742.0,6.0,6056.0,1.0,9.0,0,0,1,0
2000.0,2000.0,36.0,2.44,1,2500.0,702.0,4.0,67.0,0.0,2.0,0,0,1,0
10000.0,10000.0,36.0,15.6,3,3833.33,687.0,6.0,4734.0,0.0,10.0,1,0,0,0
14000.0,14000.0,36.0,10.68,2,11833.325,737.0,14.0,13850.0,3.0,1.0,0,0,1,0
5450.0,5450.0,60.0,2.48,2,4600.0,787.0,14.0,4326.0,0.0,10.0,0,0,0,1
10000.0,9950.0,36.0,12.63,1,7166.67,682.0,11.0,10309.0,1.0,0.5,0,1,0,0
8000.0,7989.96,36.0,5.27,2,11833.325,707.0,6.0,7351.0,1.0,3.0,0,0,0,1
11500.0,11500.0,36.0,18.0,1,2916.67,717.0,14.0,13851.0,1.0,5.0,1,0,0,0
3600.0,3600.0,36.0,26.21,2,4166.67,737.0,19.0,25.0,2.0,3.0,1,0,0,0
12000.0,12000.0,60.0,10.34,1,4166.67,717.0,13.0,16069.0,1.0,10.0,1,0,0,0
21850.0,21850.0,36.0,28.08,1,4166.67,692.0,12.0,20497.0,0.0,0.5,1,0,0,0
4375.0,4375.0,36.0,12.0,1,3333.33,677.0,10.0,2440.0,2.0,0.5,0,1,0,0
10000.0,10000.0,36.0,5.49,2,10833.33,757.0,5.0,39260.25,0.0,7.0,0,1,0,0
2500.0,2500.0,36.0,24.07,2,1500.0,667.0,10.0,2684.0,3.0,1.0,0,0,1,0
30000.0,29975.0,60.0,15.86,2,11833.325,697.0,14.0,39260.25,0.0,2.0,0,1,0,0
21000.0,20975.0,60.0,9.64,1,3476.8,727.0,10.0,0.0,1.0,4.0,0,1,0,0
8000.0,8000.0,36.0,14.45,1,4166.67,662.0,10.0,9425.0,2.0,4.0,0,1,0,0
12500.0,12500.0,36.0,21.5,3,2083.33,687.0,9.0,11967.0,0.0,6.0,0,1,0,0
12300.0,12300.0,36.0,22.29,1,3750.0,737.0,6.0,27282.0,1.0,7.0,0,1,0,0
12000.0,12000.0,36.0,13.53,2,8000.0,687.0,13.0,12968.0,1.0,3.0,0,1,0,0
10000.0,10000.0,36.0,18.55,1,2916.67,662.0,9.0,7565.0,3.0,4.0,0,1,0,0
17825.0,17825.0,36.0,18.85,2,6250.0,692.0,12.0,27554.0,0.0,10.0,0,1,0,0
22000.0,22000.0,36.0,16.93,1,3916.67,717.0,4.0,22142.0,0.0,1.0,0,1,0,0
6000.0,6000.0,36.0,4.74,2,10916.0,767.0,18.0,6317.0,3.0,6.0,0,0,1,0
9000.0,9000.0,36.0,12.67,1,3466.67,682.0,13.0,11103.0,0.0,7.0,0,1,0,0
8250.0,8250.0,36.0,24.19,1,2100.0,722.0,7.0,9469.0,0.0,1.0,1,0,0,0
11875.0,11775.0,36.0,22.52,2,6000.0,732.0,11.0,28210.0,2.0,10.0,0,1,0,0
4200.0,4200.0,36.0,15.83,2,7000.0,702.0,8.0,7167.0,0.0,10.0,0,0,0,0
2200.0,2200.0,36.0,24.15,2,3400.0,732.0,6.0,1453.0,0.0,5.0,0,0,1,0
20000.0,20000.0,36.0,20.04,2,4625.0,757.0,14.0,31335.0,1.0,10.0,0,1,0,0
5000.0,4950.0,36.0,0.51,1,2916.67,717.0,2.0,165.0,2.0,3.0,0,0,0,1
7150.0,7150.0,36.0,12.33,1,3666.67,687.0,11.0,10561.0,1.0,0.5,0,1,0,0
14675.0,14650.0,60.0,29.18,1,3167.0,727.0,7.0,21088.0,1.0,6.0,0,1,0,0
10300.0,10300.0,36.0,33.37,2,2583.33,717.0,19.0,12475.0,0.0,7.0,0,1,0,0
20000.0,19850.0,60.0,15.94,1,4166.67,737.0,11.0,3202.0,0.0,3.0,0,0,1,0
9500.0,9475.0,60.0,13.64,2,5000.0,757.0,10.0,39260.25,0.0,10.0,0,0,1,0
15000.0,14825.0,36.0,16.89,2,6691.67,702.0,14.0,14488.0,3.0,3.0,0,0,0,1
4000.0,3945.6,36.0,23.52,1,3350.0,757.0,6.0,627.0,1.0,1.0,0,0,1,0
12800.0,12800.0,60.0,19.12,3,4166.67,687.0,15.0,12693.0,2.0,5.0,0,0,0,0
10000.0,10000.0,36.0,14.12,1,7500.0,682.0,12.0,3235.0,0.0,6.0,1,0,0,0
10000.0,10000.0,36.0,7.43,1,3833.33,737.0,3.0,10187.0,0.0,10.0,0,1,0,0
5000.0,5000.0,36.0,8.51,2,3750.0,747.0,12.0,3998.0,0.0,6.0,0,0,1,0
10000.0,10000.0,36.0,17.08,2,8333.33,712.0,9.0,39260.25,0.0,10.0,0,0,1,0
12000.0,12000.0,36.0,13.8,2,3333.33,667.0,10.0,16181.0,0.0,10.0,0,1,0,0
23675.0,23675.0,36.0,29.94,3,6399.0,682.0,21.0,21920.0,0.0,10.0,1,0,0,0
12500.0,12500.0,36.0,17.67,2,3916.67,692.0,7.0,8221.0,3.0,10.0,0,1,0,0
21000.0,21000.0,60.0,16.4,2,8833.33,702.0,11.0,29293.0,0.0,1.0,0,0,0,1
5000.0,5000.0,36.0,14.66,1,7333.33,727.0,22.0,35055.0,1.0,1.0,0,0,1,0
21000.0,21000.0,60.0,31.48,1,4583.33,682.0,13.0,32616.0,1.0,10.0,0,1,0,0
27000.0,27000.0,36.0,12.21,2,9250.0,794.5,12.0,4211.0,0.0,5.0,0,1,0,0
7500.0,6025.0,36.0,17.5,3,5000.0,677.0,11.0,16422.0,0.0,0.5,0,1,0,0
16000.0,16000.0,36.0,20.1,1,5924.5,697.0,11.0,9365.0,1.0,10.0,0,1,0,0
13200.0,13200.0,36.0,15.74,1,3791.67,707.0,10.0,16187.0,1.0,5.0,1,0,0,0
2000.0,2000.0,36.0,11.91,1,3400.0,662.0,3.0,747.0,3.0,10.0,0,0,0,1
5000.0,5000.0,36.0,1.2,1,5000.0,782.0,8.0,531.0,1.0,2.0,0,1,0,0
15350.0,15350.0,36.0,7.41,2,5666.67,672.0,6.0,8128.0,0.0,1.0,1,0,0,0
9750.0,9750.0,36.0,34.04,2,3119.92,672.0,12.0,8774.0,1.0,5.0,0,1,0,0
17800.0,17775.0,60.0,5.86,1,7000.0,662.0,9.0,6708.0,0.0,6.0,0,1,0,0
5500.0,5500.0,36.0,19.35,2,3937.08,687.0,6.0,689.0,3.0,10.0,0,0,0,1
12000.0,12000.0,36.0,13.4,1,5416.67,742.0,13.0,13953.0,0.0,2.0,0,1,0,0
8000.0,8000.0,36.0,18.17,3,7500.0,672.0,13.0,5987.0,0.0,0.5,0,0,1,0
5000.0,5000.0,36.0,19.1,1,4200.0,717.0,7.0,1109.0,0.0,3.0,0,0,1,0
10000.0,1300.0,36.0,11.03,2,6666.67,697.0,8.0,39260.25,0.0,4.0,1,0,0,0
6000.0,6000.0,36.0,11.89,2,11833.325,672.0,11.0,31640.0,1.0,10.0,0,1,0,0
9975.0,9975.0,36.0,7.13,2,5000.0,722.0,17.0,9773.0,2.0,5.0,0,1,0,0
3000.0,3000.0,36.0,20.96,1,5583.33,697.0,6.0,1531.0,2.0,10.0,0,1,0,0
12000.0,11950.0,36.0,22.98,1,5416.67,692.0,7.0,13234.0,0.0,4.0,1,0,0,0
23850.0,23850.0,60.0,20.74,2,5000.0,672.0,13.0,17587.0,1.0,4.0,0,1,0,0
5375.0,5375.0,36.0,15.05,2,5416.67,687.0,13.0,4087.0,2.0,1.0,0,0,1,0
4400.0,4400.0,36.0,17.93,3,4000.0,767.0,6.0,9945.0,1.0,5.0,0,0,1,0
15675.0,15675.0,36.0,8.86,2,4166.67,794.5,9.0,13020.0,1.0,7.0,0,0,1,0
14500.0,14500.0,36.0,11.96,1,4500.0,737.0,8.0,16398.0,0.0,6.0,1,0,0,0
18225.0,18200.0,36.0,24.64,2,5000.0,662.0,12.0,16398.0,2.0,7.0,0,1,0,0
16100.0,16100.0,36.0,25.36,2,6250.0,717.0,14.0,9737.0,0.0,10.0,0,1,0,0
8000.0,8000.0,36.0,12.2,1,1750.0,667.0,9.0,5828.0,0.0,4.0,0,0,0,1
6000.0,6000.0,36.0,16.4,1,2500.0,672.0,5.0,5892.0,1.0,4.0,0,1,0,0
4400.0,4400.0,36.0,19.0,1,2000.0,717.0,9.0,2411.0,3.0,5.0,0,0,1,0
4325.0,4250.0,36.0,17.77,1,4400.0,707.0,7.0,3365.0,0.0,2.0,0,0,0,1
4200.0,4200.0,36.0,15.97,1,6041.67,682.0,11.0,5913.0,0.0,8.0,0,1,0,0
11425.0,11400.0,36.0,19.47,2,4750.0,732.0,9.0,6359.0,3.0,8.0,0,1,0,0
12000.0,12000.0,36.0,17.73,2,7300.0,707.0,9.0,38342.0,0.0,4.0,0,1,0,0
16000.0,16000.0,36.0,11.35,1,5075.0,692.0,15.0,22380.0,2.0,3.0,1,0,0,0
13000.0,13000.0,36.0,24.5,1,4166.67,707.0,10.0,15534.0,0.0,6.0,1,0,0,0
3000.0,3000.0,36.0,19.59,1,4073.0,662.0,8.0,6941.0,2.0,5.0,0,0,0,1
20000.0,20000.0,36.0,6.61,1,10833.33,772.0,7.0,16092.0,0.0,4.0,0,1,0,0
9600.0,9600.0,36.0,5.58,2,6500.0,727.0,8.0,23353.0,3.0,6.0,0,1,0,0
7100.0,7100.0,36.0,19.22,1,4166.67,687.0,13.0,6788.0,2.0,2.0,1,0,0,0
4600.0,4600.0,36.0,3.38,2,3664.25,777.0,6.0,3127.0,0.0,10.0,0,0,0,0
6000.0,6000.0,60.0,14.88,3,4416.67,662.0,9.0,28349.0,3.0,10.0,0,0,1,0
6000.0,5994.0,36.0,11.68,1,2500.0,672.0,6.0,9482.0,0.0,2.0,1,0,0,0
24000.0,24000.0,60.0,20.55,3,6250.0,677.0,10.0,17780.0,0.0,7.0,0,1,0,0
12000.0,12000.0,60.0,1.88,2,6666.67,792.0,6.0,3364.0,0.0,6.0,0,1,0,0
3250.0,3250.0,36.0,31.84,1,2858.33,692.0,5.0,17662.0,0.0,6.0,0,0,1,0
5000.0,5000.0,36.0,17.61,1,4583.33,702.0,4.0,4164.0,2.0,7.0,0,1,0,0
8000.0,8000.0,60.0,5.56,1,2500.0,662.0,5.0,5770.0,2.0,6.0,0,0,1,0
9600.0,9600.0,36.0,7.52,2,6250.0,752.0,7.0,765.0,0.0,0.5,0,0,0,0
9600.0,9600.0,36.0,15.04,1,4250.0,687.0,17.0,7713.0,1.0,1.0,1,0,0,0
14125.0,14125.0,36.0,8.1,1,3000.0,672.0,6.0,8992.0,1.0,10.0,0,1,0,0
15600.0,6575.0,36.0,6.65,2,11833.325,682.0,14.0,20237.0,3.0,2.0,0,1,0,0
6000.0,6000.0,36.0,18.2,2,5031.67,707.0,9.0,39260.25,0.0,10.0,1,0,0,0
6250.0,6250.0,36.0,19.7,1,4248.33,682.0,9.0,9991.0,2.0,0.5,0,1,0,0
12000.0,12000.0,36.0,8.28,1,7750.0,672.0,10.0,16132.0,0.0,10.0,0,1,0,0
30100.0,30100.0,60.0,3.31,2,8333.33,707.0,15.0,3737.0,3.0,6.0,0,0,0,0
20000.0,20000.0,36.0,33.28,1,8666.67,727.0,9.0,33067.0,0.0,3.0,0,1,0,0
5300.0,5200.0,36.0,8.47,2,8333.33,742.0,5.0,39260.25,1.0,3.0,0,1,0,0
10000.0,9950.0,36.0,3.8,2,6666.67,697.0,8.0,7967.0,1.0,3.0,0,1,0,0
23000.0,22975.0,60.0,21.17,1,5166.67,692.0,13.0,23773.0,0.0,6.0,0,1,0,0
14000.0,14000.0,36.0,31.02,2,5000.0,662.0,15.0,12728.0,3.0,7.0,1,0,0,0
10000.0,10000.0,36.0,34.26,2,6200.0,677.0,22.0,28850.0,1.0,3.0,0,1,0,0
16000.0,15800.0,60.0,13.07,2,4583.33,677.0,7.0,5729.0,0.0,10.0,1,0,0,0
7200.0,7200.0,36.0,4.43,1,3000.0,757.0,6.0,75.0,1.0,6.0,0,0,1,0
